"survived","pclass","sex","age","sibsp","parch","embarked","fare_per_customer","cabin"
"S",2,1,34,0,0,2,10.5,1
"S",2,1,4,2,1,2,9.75,1
"S",2,0,1,2,1,2,9.75,1
"S",3,1,4,1,1,2,5.57,1
"S",3,1,24,0,2,2,5.57,1
"S",3,1,26,0,0,2,7.93,0
"S",3,1,27,0,2,2,3.71,0
"S",2,1,14,1,0,1,15.04,0
"S",2,1,55,0,0,2,16,0
"S",3,1,29.7,0,0,1,7.23,0
"S",3,1,15,0,0,3,8.03,0
"S",3,1,38,1,5,2,4.48,0
"S",3,1,29.7,0,0,3,7.88,0
"S",3,1,29.7,0,0,3,7.75,0
"S",3,1,14,1,0,1,5.62,0
"S",2,1,3,1,2,1,10.39,0
"S",3,1,19,0,0,3,7.88,0
"S",3,1,29.7,0,0,3,7.75,0
"S",2,1,29,1,0,2,13,0
"S",2,1,21,0,0,2,10.5,0
"S",2,1,5,1,2,2,6.94,0
"S",3,1,17,4,2,2,1.13,0
"S",3,1,30,0,0,2,12.48,0
"S",3,1,29.7,0,0,3,7.79,0
"S",2,1,17,0,0,2,10.5,0
"S",3,1,33,3,0,2,3.96,0
"S",2,1,34,0,1,2,11.5,0
"S",3,1,21,0,0,2,7.65,0
"S",3,1,29.7,1,0,3,12.08,0
"S",2,1,29,1,0,2,13,0
"S",3,1,22,0,0,2,7.75,0
"S",3,1,24,1,0,2,7.93,0
"S",3,1,16,0,0,3,7.73,0
"S",2,1,40,0,0,2,15.75,0
"S",3,1,1,1,1,2,3.71,0
"S",3,1,4,0,2,2,7.34,0
"S",3,1,29.7,1,0,3,7.75,0
"S",2,1,32,0,0,2,13,0
"S",3,1,19,1,0,2,3.93,0
"S",3,1,29.7,0,0,3,7.75,0
"S",3,1,16,0,0,3,7.75,0
"S",2,1,35,0,0,2,21,0
"S",3,1,27,0,0,2,7.93,0
"S",3,1,5,4,2,2,4.48,0
"S",2,1,8,0,2,2,8.75,0
"S",3,1,29.7,1,0,3,7.75,0
"S",2,1,24,0,2,2,4.83,0
"S",3,1,29,0,2,1,5.08,0
"S",1,1,29.7,0,0,1,79.2,0
"S",1,1,35,0,0,1,512.33,0
"S",2,1,50,0,1,2,13,0
"S",2,1,41,0,1,2,9.75,0
"S",3,1,29.7,0,0,3,7.75,0
"S",3,1,35,1,1,2,6.75,0
"S",3,1,22,0,0,3,7.75,0
"S",1,1,26,0,0,2,78.85,0
"S",3,1,29.7,0,0,3,7.75,0
"S",1,1,29.7,0,0,1,110.88,0
"S",3,1,26,0,0,2,7.85,0
"S",2,1,24,1,0,2,13,0
"S",2,1,30,0,0,3,12.35,0
"S",2,1,22,1,1,2,9.67,0
"S",3,1,31,1,1,2,6.84,0
"S",3,1,29.7,2,0,3,7.75,0
"S",1,1,29.7,1,0,2,66.83,0
"S",2,1,40,0,0,2,13,0
"S",3,1,29.7,1,0,2,8.05,0
"S",3,1,29.7,0,0,3,7.88,0
"S",3,1,29.7,0,0,3,7.88,0
"S",3,1,29.7,0,0,1,7.23,0
"S",3,1,29.7,0,0,3,7.75,0
"S",1,1,29.7,1,0,1,41.09,0
"S",3,1,22,0,0,2,7.25,0
"S",1,1,42,0,0,1,227.53,0
"S",3,1,1,0,2,1,5.25,0
"S",1,1,35,1,0,2,26,0
"S",2,1,36,0,0,2,13,0
"S",2,1,17,0,0,1,12,0
"S",2,1,28,0,0,2,12.65,0
"S",2,1,34,1,1,2,10.83,0
"S",2,1,18,0,2,2,4.33,0
"S",2,1,28,1,0,2,13,0
"S",2,1,19,0,0,2,26,0
"S",3,1,29.7,1,0,2,8.05,0
"S",2,1,42,1,0,2,13,0
"S",2,1,24,2,3,2,3.13,0
"S",2,1,45,1,1,2,8.75,0
"S",2,1,28,0,0,2,13,0
"S",2,1,13,0,1,2,9.75,0
"S",3,1,5,2,1,1,4.81,0
"S",2,1,50,0,0,2,10.5,0
"S",3,1,0.75,2,1,1,4.81,0
"S",2,1,33,1,2,2,6.94,0
"S",3,1,2,0,1,2,6.14,0
"S",3,1,63,0,0,2,9.59,0
"S",2,1,33,0,2,2,8.67,0
"S",1,1,54,1,0,1,29.7,0
"S",2,1,36,1,0,2,13,0
"S",2,1,50,0,0,2,10.5,0
"S",2,1,2,1,1,2,8.67,0
"S",3,1,29.7,0,2,1,7.45,0
"S",2,1,7,0,2,2,8.75,0
"S",1,1,30,0,0,1,106.43,0
"S",2,1,19,1,0,2,13,0
"S",3,1,22,0,0,2,7.78,0
"S",3,1,36,1,0,2,8.7,0
"S",3,1,29.7,0,0,3,7.75,0
"S",2,1,34,0,0,2,13,0
"S",2,1,25,1,1,2,10,0
"S",2,1,29.7,0,0,2,33,0
"S",2,1,24,2,1,2,6.75,0
"S",2,1,22,1,2,1,10.39,0
"S",3,1,29.7,1,0,3,7.75,0
"S",2,1,24,1,2,2,16.25,0
"S",2,1,28,0,0,2,13,0
"S",3,1,0.75,2,1,1,4.81,0
"S",3,1,23,0,0,2,7.55,0
"S",2,1,18,0,1,2,11.5,0
"S",3,1,29.7,0,0,3,7.83,0
"S",2,1,40,1,1,2,13,0
"S",3,1,18,0,0,2,9.84,0
"S",3,1,4,0,1,1,6.71,0
"S",3,1,29.7,0,0,3,7.73,0
"S",2,1,45,0,0,2,13.5,0
"S",1,1,22,0,0,2,151.55,0
"S",2,1,6,0,1,2,16.5,0
"S",2,1,30,3,0,2,5.25,0
"S",3,1,29.7,0,0,3,7.74,0
"S",2,1,30,0,0,2,13,0
"S",2,1,4,1,1,2,7.67,0
"S",2,1,48,1,2,2,16.25,0
"S",2,1,54,1,3,2,4.6,0
"S",3,1,5,0,0,2,12.48,0
"S",3,1,13,0,0,1,7.23,0
"S",3,1,18,0,0,2,7.5,0
"S",3,1,31,0,0,2,8.68,0
"S",2,1,31,1,1,2,8.75,0
"S",3,1,15,1,0,1,7.23,0
"S",1,1,30,0,0,1,31,0
"S",3,1,18,0,1,2,4.68,0
"S",1,1,45,1,1,2,54.96,0
"S",3,1,24,0,3,1,4.81,0
"S",2,1,42,0,0,2,13,0
"S",2,1,27,1,0,1,6.93,0
"S",2,1,28,1,0,1,12,0
"S",3,1,15,0,0,1,7.23,0
"S",2,1,25,0,1,2,13,0
"S",2,0,29.7,0,0,2,13,0
"S",3,0,29.7,0,0,1,7.23,0
"S",3,0,29.7,1,1,1,5.08,0
"S",3,0,32,0,0,2,56.5,0
"S",2,0,0.83,0,2,2,9.67,0
"S",3,0,29,0,0,2,9.5,0
"S",3,0,29.7,0,0,2,7.78,0
"S",3,0,12,1,0,1,5.62,0
"S",3,0,24,0,0,2,7.14,0
"S",3,0,27,0,0,2,7.8,0
"S",3,0,9,0,2,2,6.84,0
"S",1,0,45,0,0,2,26.55,0
"S",3,0,18,0,0,2,8.05,0
"S",3,0,26,0,0,1,18.79,0
"S",3,0,16,0,0,2,8.05,0
"S",2,0,19,0,0,2,10.5,0
"S",3,0,3,4,2,2,4.48,0
"S",3,0,25,1,0,2,3.89,0
"S",3,0,25,0,0,2,0,0
"S",3,0,19,0,0,2,8.05,0
"S",3,0,30,0,0,2,9.5,0
"S",2,0,42,0,0,2,13,0
"S",3,0,29.7,2,0,3,7.75,0
"S",3,0,45,0,0,2,8.05,0
"S",3,0,3,1,1,2,5.3,0
"S",3,0,21,0,0,2,7.8,0
"S",3,0,39,0,0,2,7.93,0
"S",2,0,3,1,1,2,6.25,0
"S",3,0,44,0,0,2,7.93,0
"S",3,0,29.7,0,0,2,8.11,0
"S",1,0,34,0,0,2,26.55,0
"S",3,0,29,0,0,1,7.9,0
"S",3,0,9,1,1,2,5.3,0
"S",1,0,29.7,0,0,2,26.55,0
"S",3,0,26,0,0,2,56.5,0
"S",3,0,29,0,0,3,7.75,0
"S",2,0,32,1,0,2,13,0
"S",2,0,29.7,0,0,1,13.86,0
"S",2,0,8,1,1,2,12.25,0
"S",3,0,22,0,0,1,7.23,0
"S",3,0,32,0,0,2,7.85,0
"S",2,0,62,0,0,2,10.5,0
"S",3,0,32,0,0,2,7.93,0
"S",1,0,35,0,0,1,26.55,0
"S",1,0,27,0,0,2,30.5,0
"S",3,0,20,1,1,1,5.25,0
"S",3,0,29.7,0,0,2,56.5,0
"S",1,0,50,2,0,2,44.55,0
"S",3,0,20,1,0,2,3.96,0
"S",2,0,31,0,0,2,13,0
"S",3,0,29.7,0,0,2,56.5,0
"S",3,0,29.7,1,1,1,5.08,0
"S",3,0,31,0,0,2,7.93,0
"S",2,0,0.67,1,1,2,4.83,0
"S",3,0,20,0,0,1,7.23,0
"S",3,0,1,1,2,2,5.14,0
"S",3,0,0.42,0,1,1,4.26,0
"S",3,0,27,0,0,2,6.98,0
"S",3,0,27,0,0,2,8.66,0
"S",2,0,1,0,2,1,12.33,0
"S",3,0,29.7,0,0,3,7.75,0
"S",2,0,0.83,1,1,2,6.25,0
"S",3,0,32,0,0,2,56.5,0
"S",3,0,4,1,1,2,3.71,0
